geneNames	GSM610737	GSM610738	GSM435828	GSM435833	GSM610718	GSM610690	GSM435823	GSM435824	GSM435825	GSM435826	GSM435827	GSM610691	GSM435821	GSM435822	GSM610695	GSM610696	GSM610717
ABTB1	0.097769063	1.26450297	0.693421201	0.861662529	0.623037962	1.560375404	0.337420999	1.146791624	1.218616932	1.411458665	1.288138775	1.051211687	1.565118628	1.361604664	1.568581769	1.829823027	1.453360237
ABTB2	6.436098829	8.162469624	4.550425051	6.538383673	2.763052058	5.51161896	0.714815395	6.059864581	8.524402142	6.988578243	4.65557722	5.545710438	7.09769483	7.23482115	7.364080324	4.731377465	5.41618983
ACAA1	228.9778577	116.7856295	79.7555643	184.6942205	148.458526	284.7830849	248.8389555	177.6808271	273.9033772	281.8274979	231.0024739	391.7768311	513.9786855	226.081404	266.550958	260.3234102	382.7203556
ACAA2	84.0264751	26.13300068	3.414524787	12.96950985	14.37474337	31.72883936	15.60292333	44.7724705	76.49544444	30.9368539	30.05884346	82.50909815	75.69623039	67.79776882	147.5813664	106.493943	22.05477106
ACACA	8.48828073	5.636964162	7.224390878	9.872524133	6.719721875	5.113095085	7.536862679	6.341952154	5.870625978	6.255554534	7.119341	6.355891801	5.685380239	5.697883784	6.152369311	5.760931423	7.238495614
ACACB	39.8780383	19.1886448	7.68824463	21.60051254	13.6282976	14.91560126	4.794939206	25.17854338	21.90165506	13.96256238	14.90971476	30.78498865	24.95087962	28.55823794	25.02975458	29.32692363	17.95382489
ACAD10	0.265608568	0.924912178	0.617581989	1.12890504	0.722388698	0.615866311	0.537638141	1.352624233	1.221750243	1.67162658	0.793810728	0.520636735	1.088596798	0.929254686	1.27860865	1.842108507	1.03141361
ACAD11	13.67514997	10.43042295	2.958148325	5.560989335	2.785073127	12.51390825	3.853203438	12.71576941	13.79628254	18.1923902	11.63006792	12.25828757	16.45814782	16.74127227	13.43759424	19.83667296	7.840418324
ACAD8	3.729109752	3.888314588	2.446244801	2.175403721	1.391193221	2.934521884	0.823800237	2.540749816	7.18620251	3.768640566	4.795759661	2.305084371	2.995435607	2.800239059	3.039126578	2.63512224	2.085323786
ACAD9	23.72918187	10.60347249	16.17007925	28.37723508	14.84011531	11.79752224	8.742848959	16.93411263	16.17715823	12.57981145	11.48956156	29.55288847	31.09385038	26.34491485	29.68476674	25.31637219	18.6295803
ACADL	4.300091223	2.12492487	2.364906278	2.642732724	2.563021482	8.802784215	3.15950944	9.92693737	10.08529752	6.324078029	5.532544844	13.61270748	10.19357284	15.06376184	9.66848745	7.589758096	7.10763509
ACADM	1.096126388	1.044924177	0.788227504	1.562927135	0.821093057	0.693789294	1.362582575	1.258354989	1.433340293	0.913005041	0.982071091	1.962978527	1.631812649	1.63968269	1.744157722	1.580707287	2.121645773
ACADS	106.419633	36.13353136	30.15265007	31.12272533	50.47067036	60.66587847	50.46229088	49.66358978	65.70574887	80.04431138	53.43957171	112.6682729	114.9287689	51.73124493	71.99176885	49.57594654	88.08446051
